then benhadad ^ 316489
so ahab ^ 319395
then moab ^ 319815
now jehoram ^ 321604
now naaman ^ 324247
not abana ^ 324719
so gehazi ^ 325123
then elisha ^ 326646
then libnah ^ 328488
there jehu ^ 328799
then jehu ^ 329128
so jehu ^ 329245
now joram ^ 329259
so jehu ^ 329337
so jehu ^ 330646
thus jehu ^ 331338
even gilead ^ 331536
then hazael ^ 333084
now elisha ^ 333748
then elisha ^ 333865
so hazael ^ 334136
then amaziah ^ 334447
so azariah ^ 335408
then menahem ^ 335696
then rezin ^ 336622
so urijah ^ 336889
also judah ^ 337918
away israel ^ 339061
then rabshakeh ^ 339769
not hezekiah ^ 339810
so rabshakeh ^ 340422
then isaiah ^ 340828
so sennacherib ^ 341450
so hilkiah ^ 343690
so jehoiakim ^ 345881
away jehoiachin ^ 346191
even ishmael ^ 347245
then kedar ^ 347994
afterward hezron ^ 348936
then abiah ^ 349036
now sheshan ^ 349242
also shaaph ^ 349502
even kenaz ^ 350546
even epher ^ 351969
away judah ^ 352322
even asaph ^ 352808
also gezer ^ 353529
also resheph ^ 354590
then zur ^ 356683
so saul ^ 356983
so joab ^ 357490
so david ^ 357546
then joash ^ 358556
then david ^ 358992
so david ^ 359836
so david ^ 360086
now hiram ^ 360146
then david ^ 360382
then david ^ 360606
then nathan ^ 362549
then david ^ 363563
so david ^ 363819
so joab ^ 364404
then joab ^ 364455
then david ^ 365524
now ornan ^ 365696
then david ^ 365736
then david ^ 366047
so david ^ 366201
also hosah ^ 369274
also jonathan ^ 370837
then david ^ 371001
then david ^ 371421
then solomon ^ 372871
thus david ^ 372958
then solomon ^ 373136
then solomon ^ 373549
then huram ^ 374140
then solomon ^ 374498
thus solomon ^ 375616
then solomon ^ 375824
thus solomon ^ 378407
then solomon ^ 379235
even bethlehem ^ 381367
yet jeroboam ^ 382540
so abijah ^ 383138
then asa ^ 383445
then asa ^ 384323
then asa ^ 384479
then asa ^ 384649
even shemaiah ^ 385045
now jehoshaphat ^ 385387
quickly micaiah ^ 385670
then zedekiah ^ 386200
then eliezer ^ 388378
now jehoshaphat ^ 388423
then jehoram ^ 388692
so ahaziah ^ 389187
then athaliah ^ 390242
then jehoiada ^ 390256
also jehoiada ^ 390413
thus joash ^ 391387
then amaziah ^ 392030
then amaziah ^ 392362
